Tiempo,Temperatura,Humedad,Masa
86.31,18,58,-1.02
86.41,18,58,-1.05
86.51,18,58,-0.78
86.61,18,58,-1.13
86.72,18,58,-1.2
86.82,18,58,-1.35
86.92,18,58,-1.25
87.05,17,58,-1.14
87.15,17,58,-1.24
87.25,17,58,-1.43
87.35,17,58,-1.31
87.46,17,58,-0.98
87.56,17,58,-1
87.66,17,58,-1.33
87.76,17,58,-1.36
87.87,17,58,-1.19
87.97,17,58,-1.3
88.07,17,58,-1.26
88.17,17,58,-1.44
88.27,17,58,-1.62
88.38,17,58,-1.06
88.48,17,58,-1.18
88.58,17,58,-1.45
88.68,17,58,-1.52
88.79,17,58,-1.15
88.89,17,58,-1.46
88.99,17,58,-1.61
89.12,17,58,-1.44
89.22,17,58,-1.35
89.32,17,58,-1.34
89.42,17,58,-1.48
89.53,17,58,-1.04
89.63,17,58,-0.96
89.73,17,58,-1.11
89.83,17,58,-1.27
89.93,17,58,-1.15
90.04,17,58,-1.01
90.14,17,58,-1
90.24,17,58,-1.09
90.34,17,58,-1.36
90.45,17,58,-1.27
90.55,17,58,-1.34
90.65,17,58,-1.1
90.75,17,58,-1.35
90.86,17,58,-1.61
90.96,17,58,-1.34
91.06,17,58,-1.3
91.19,17,58,-1.23
91.29,17,58,-1.1
91.39,17,58,-1.18
91.49,17,58,-1.32
91.6,17,58,-1.21
91.7,17,58,-1.11
91.8,17,58,-1.21
91.9,17,58,-1.19
92.01,17,58,-1.1
92.11,17,58,-1.28
92.21,17,58,-1.33
92.31,17,58,-1.47
92.41,17,58,-1.66
92.52,17,58,-1.49
92.62,17,58,-1.29
92.72,17,58,-1.54
92.82,17,58,-1.43
92.93,17,58,-1.43
93.03,17,58,-1.43
93.13,17,58,-1.16
93.26,17,58,-1.56
93.36,17,58,-1.6
93.46,17,58,-1.54
93.56,17,58,-1.44
93.67,17,58,-1.41
93.77,17,58,-1.02
93.87,17,58,-0.98
93.97,17,58,-1.28
94.07,17,58,-1.6
94.18,17,58,-1.87
94.28,17,58,-0.98
94.38,17,58,-1.32
94.48,17,58,-1.48
94.59,17,58,-1.69
94.69,17,58,-1.52
94.79,17,58,-1.36
94.89,17,58,-1.45
95,17,58,-1.58
95.1,17,58,-1.56
95.2,17,58,-1.56
95.33,17,58,-1.42
95.43,17,58,-1.29
95.53,17,58,-1.43
95.63,17,58,-1.53
95.73,17,58,-1.22
95.84,17,58,-1.4
95.94,17,58,-1.23
96.04,17,58,-1.45
96.14,17,58,-1.43
96.25,17,58,-1.26
96.35,17,58,-1.27
96.45,17,58,-1.31
96.55,17,58,-1.44
96.66,17,58,-1.45
96.76,17,58,-1.28
96.86,17,58,-1.29
96.96,17,58,-1.43
97.07,17,58,-1.71
97.17,17,58,-1.59
97.27,17,58,-1.76
97.39,17,58,-1.54
97.5,17,58,-1.56
97.6,17,58,-1.53
97.7,17,58,-1.68
97.8,17,58,-1.52
97.91,17,58,-1.56
98.01,17,58,-1.44
98.11,17,58,-1.08
98.21,17,58,-1.31
98.32,17,58,-1.36
98.42,17,58,-1.3
98.52,17,58,-1.26
98.62,17,58,-1.39
98.73,17,58,-1.57
98.83,17,58,-1.37
98.93,17,58,-1.29
99.03,17,58,-1.24
99.14,17,58,-1.21
99.24,17,58,-1.14
99.34,17,58,-1.3
99.46,17,58,-1.37
99.57,17,58,-1.3
99.67,17,58,-1.62
99.77,17,58,-1.65
99.87,17,58,-1.4
99.98,17,58,-1.1
100.08,17,58,-1.28
100.18,17,58,-1.54
100.28,17,58,-1.2
100.39,17,58,-1.25
100.49,17,58,-1.64
100.59,17,58,-1.45
100.69,17,58,-1.22
100.8,17,58,-1.26
100.9,17,58,-1.49
101,17,58,-1.51
101.1,17,58,-1.63
101.2,17,58,-1.65
101.31,17,58,-1.49
101.41,17,58,-1.46
101.54,17,58,-1.45
101.64,17,58,-1.31
101.74,17,58,-1.28
101.84,17,58,-1.45
101.94,17,58,-1.38
102.05,17,58,-0.98
